horizon,feature,mean_abs_shap
24h,aqi_rolling_6h,14.735329
24h,pm2_5,4.060796
24h,ozone,3.414428
24h,aqi_change_rate,2.134033
24h,rain,1.633297
24h,carbon_monoxide,1.599838
24h,day_of_week,1.441400
24h,wind_speed,1.158120
24h,wind_direction,1.153015
24h,hour,1.071872
24h,temperature,1.008739
24h,month,0.925404
24h,day,0.783855
24h,nitrogen_dioxide,0.670493
24h,pressure,0.625125
24h,pm10,0.589592
24h,sulphur_dioxide,0.530878
24h,humidity,0.092898
48h,aqi_rolling_6h,11.115377
48h,month,3.713830
48h,ozone,2.562512
48h,carbon_monoxide,2.544924
48h,day,2.347208
48h,sulphur_dioxide,2.039551
48h,aqi_change_rate,2.036456
48h,pm2_5,1.962813
48h,rain,1.528186
48h,temperature,1.365960
48h,wind_direction,1.240328
48h,pm10,0.794767
48h,wind_speed,0.793912
48h,hour,0.674656
48h,pressure,0.569928
48h,humidity,0.320988
48h,day_of_week,0.315680
48h,nitrogen_dioxide,0.194530
72h,aqi_rolling_6h,7.816938
72h,day,6.687284
72h,month,4.786611
72h,carbon_monoxide,2.667028
72h,ozone,2.206203
72h,sulphur_dioxide,2.164091
72h,hour,1.678367
72h,pressure,1.579469
72h,aqi_change_rate,1.465075
72h,pm2_5,1.373299
72h,temperature,1.274420
72h,wind_speed,1.238506
72h,wind_direction,1.190362
72h,rain,1.031497
72h,pm10,0.899551
72h,day_of_week,0.858307
72h,nitrogen_dioxide,0.413282
72h,humidity,0.277819
